Language,Solved Problems
Kotlin,85
Java,82
Rust,82
Scala,82
Go,81
C#,80
C++,80
PHP,80
Python2,80
TypeScript,79
Dart,78
JavaScript,78
Python3,78
Swift,78
Ruby,76
C,75
Racket,53
Elixir,45
Erlang,45
