Language,Runtime Percentile
Racket,100.0
Dart,95.71879642857142
Erlang,93.6508
Scala,91.30130689655172
PHP,90.97233548387098
Swift,90.09720322580645
Ruby,88.16399259259259
Elixir,87.5
C,74.787456
TypeScript,69.40363870967742
Kotlin,67.96910606060607
Java,67.15170606060606
C++,65.0547290322581
Rust,61.74961515151515
C#,61.64354482758621
Python2,53.912858620689654
JavaScript,52.87174516129032
Go,52.8071303030303
Python3,47.44040689655173
