Language,Memory Percentile
Racket,100.0
Dart,94.34522142857143
Erlang,93.6508
Elixir,89.16666666666667
Scala,86.69538275862068
PHP,86.56925806451612
C,84.97155200000002
Ruby,81.82416666666667
Python2,77.8951
Python3,75.24150689655173
Swift,68.53214838709677
Kotlin,67.53080909090909
Rust,66.49500606060606
TypeScript,59.79498387096775
Go,58.83526060606061
Java,48.428630303030296
C#,47.27226551724139
C++,28.705722580645165
JavaScript,26.423022580645164
