Language,Memory Percentile
Racket,97.67712195121952
Erlang,96.29629444444444
C,95.635862
Elixir,88.16857894736842
Scala,84.19968039215685
Python3,78.68665319148936
Python2,71.76743469387755
Kotlin,64.16063600000001
Go,57.53948085106383
Ruby,57.05508749999999
Dart,55.156136000000004
Rust,55.063424999999995
Java,43.34288163265306
Swift,41.39517391304348
PHP,40.12308979591837
C#,30.170814
C++,11.024842553191487
JavaScript,10.810493478260868
TypeScript,10.708963829787237
